chirp_mass mass_ratio a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl luminosity_distance dec ra cos_theta_jn psi phase lambda_1 lambda_2 geocent_time
1.47046201000000 0.963423811531452 0 0 0 0 0 0 176.993051853325 -0.473197662225695 3.82341264110985 -0.781636070198716 1.99466687754229 0.414121490030672 90.4939402527164 121.928240868236 100
1.48753163000000 0.913643016344944 0 0 0 0 0 0 234.225623613206 0.702744513167619 5.8597109932383 0.994994772210969 3.12210135251674 5.24769349918957 72.2716706261381 149.195393642483 100
1.36074990000000 0.819835964659418 0 0 0 0 0 0 164.025911936428 -0.715824330432212 3.59651280133631 0.681977908801525 1.41111798888194 5.86092857429446 85.5500074435249 366.50044152847 100
1.07953785000000 0.901212700017052 0 0 0 0 0 0 45.7162824211994 0.514064666802783 2.18325579467002 -0.168443100921317 0.306942380264763 0.046734250422468 524.931726472618 992.000743782545 100
1.25340440000000 0.745126249231836 0 0 0 0 0 0 35.6625128980852 -0.122852019263294 4.6690696766343 0.211729722405704 0.979744932977408 2.37784001333353 89.7396620108008 697.690008309654 100
1.42415641000000 0.939816884472304 0 0 0 0 0 0 41.510024779895 1.08770673290788 6.09733470003654 0.340516555986872 1.65385166927823 0.93720976766494 83.7565167917366 137.373018048738 100
1.30535049000000 0.923020343760844 0 0 0 0 0 0 16.8885685321491 -0.298228165256033 4.34243163546524 -0.287136273952541 0.713383146166542 4.10816715949668 148.712392949382 264.307033346391 100
1.2274930125371206 0.8732575951254179 0.0 0.0 0.0 0.0 0.0 0.0 144.55685406411328 -0.951428395617905 0.4311551913359182 -0.9168006137566578 0.44348909140243004 2.184521907054671 231.58854187488413 567.3450538975413 100.0
1.2135343008852806 0.8665437683701148 0.0 0.0 0.0 0.0 0.0 0.0 76.74731912382197 -0.021410195738281734 1.0641117921114756 0.5561936664193483 0.2325548420409292 3.0289353851371277 220.6161802873763 570.2764035547723 100.0
1.0567065252086163 0.9758569093787755 0.0 0.0 0.0 0.0 0.0 0.0 138.75900208279035 0.4404645870993089 3.3441920262698375 -0.8637814305673666 3.3160567619868435 2.414408602130148 866.7252970574887 1002.8078669344628 100.0
1.2524618534343632 0.903091234501903 0.0 0.0 0.0 0.0 0.0 0.0 511.58424181202156 -1.3923306736135057 3.1495220335487772 0.9547756456556478 1.4507379408994876 5.2964242414270615 365.73034190147837 698.9709566072626 100.0
1.2471376135535146 0.9012637966508427 0.0 0.0 0.0 0.0 0.0 0.0 447.9524304279 -1.0980487902889875 0.8561831101275033 0.8812376231483794 0.5370443527426058 1.3957336786512187 346.5071562147091 673.1198163500857 100.0
